Election,Scottish STV - Losing Voter Bloc Anomaly,Scottish STV - Removed Loser Ballots,Scottish STV - Winning Voter Bloc Anomaly,Scottish STV - Removed Winner Ballots,AQ STV - Losing Voter Bloc Anomaly,AQ STV - Removed Loser Ballots,AQ STV - Winning Voter Bloc Anomaly,AQ STV - Removed Winner Ballots,Meek STV - Losing Voter Bloc Anomaly,Meek STV - Removed Loser Ballots,Meek STV - Winning Voter Bloc Anomaly,Meek STV - Removed Winner Ballots,Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Loser Ballots,Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (OM) - Removed Winner Ballots,Greedy Chamberlin-Courant (OM) - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant (OM) - Removed Loser Ballots,Greedy Chamberlin-Courant (OM) - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant (OM) - Removed Winner Ballots,Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Loser Ballots,Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Chamberlin-Courant (PM) - Removed Winner Ballots,Greedy Chamberlin-Courant (PM) - Losing Voter Bloc Anomaly,Greedy Chamberlin-Courant (PM) - Removed Loser Ballots,Greedy Chamberlin-Courant (PM) - Winning Voter Bloc Anomaly,Greedy Chamberlin-Courant (PM) - Removed Winner Ballots,Expanding Approvals - Losing Voter Bloc Anomaly,Expanding Approvals - Removed Loser Ballots,Expanding Approvals - Winning Voter Bloc Anomaly,Expanding Approvals - Removed Winner Ballots
aberdeenshire_2012_ward18.csv,"[1, 4, 2, 8]","{(10,): 45, (10, 5, 6): 1, (10, 6): 3, (10, 6, 5): 1, (10, 7): 2, (10, 7, 6): 1, (10, 7, 6, 5): 1, (10, 9): 5, (10, 9, 6): 1, (5,): 11, (5, 6): 3, (5, 6, 10): 1, (5, 7): 1, (5, 9): 2, (6,): 17, (6, 10): 1, (6, 10, 9): 1, (6, 5): 1, (6, 7): 3, (6, 7, 9): 1, (6, 9, 10): 1, (7,): 14, (7, 10): 2, (7, 10, 6): 1, (7, 10, 6, 5): 1, (7, 5, 6): 1, (7, 6): 1, (7, 6, 10, 5): 1, (7, 6, 5): 1, (7, 9): 3, (9,): 23, (9, 10): 4, (9, 5): 2, (9, 6): 1, (9, 6, 7): 1, (9, 7): 5, (9, 7, 6): 1}",,,"[1, 4, 2, 8]","{(10,): 36, (10, 5, 6): 0, (10, 6): 2, (10, 6, 5): 0, (10, 7): 1, (10, 7, 6): 0, (10, 7, 6, 5): 0, (10, 9): 4, (10, 9, 6): 0, (5,): 8, (5, 6): 2, (5, 6, 10): 0, (5, 7): 0, (5, 9): 1, (6,): 13, (6, 10): 0, (6, 10, 9): 0, (6, 5): 0, (6, 7): 2, (6, 7, 9): 0, (6, 9, 10): 0, (7,): 11, (7, 10): 1, (7, 10, 6): 0, (7, 10, 6, 5): 0, (7, 5, 6): 0, (7, 6): 0, (7, 6, 10, 5): 0, (7, 6, 5): 0, (7, 9): 2, (9,): 18, (9, 10): 3, (9, 5): 1, (9, 6): 0, (9, 6, 7): 0, (9, 7): 4, (9, 7, 6): 0}",,,"[1, 4, 2, 8]","{(10,): 22, (10, 3): 3, (10, 3, 9): 0, (10, 5, 3): 0, (10, 5, 6): 0, (10, 6): 1, (10, 6, 3): 1, (10, 6, 5): 0, (10, 9): 2, (10, 9, 3): 0, (10, 9, 6): 0, (3,): 42, (3, 10): 10, (3, 10, 5): 0, (3, 10, 6): 0, (3, 10, 9): 2, (3, 5): 2, (3, 5, 9, 10): 0, (3, 6): 3, (3, 6, 10): 1, (3, 6, 10, 9): 0, (3, 6, 5): 0, (3, 6, 9): 1, (3, 9): 3, (3, 9, 10): 2, (3, 9, 5): 0, (5,): 5, (5, 3): 2, (5, 6): 1, (5, 6, 10): 0, (5, 9): 1, (6,): 8, (6, 10): 0, (6, 10, 9): 0, (6, 3): 1, (6, 3, 10): 1, (6, 3, 9): 0, (6, 5): 0, (6, 9, 10): 0, (9,): 11, (9, 10): 2, (9, 10, 3, 6): 0, (9, 3): 1, (9, 3, 6): 0, (9, 5): 1, (9, 6): 0, (9, 6, 3): 0, (9, 6, 3, 10): 0}",,,,,,,,,,,,,,,,,,,,,,
aberdeenshire_2012_ward3.csv,,,,,,,"[9, 2, 7, 4]","{(9,): 35}",,,,,,,"[1, 7, 9, 10]","{(2,): 35}",,,,,,,"[1, 7, 9, 10]","{(2,): 11}",,,,,"[9, 2, 7, 10]","{(1,): 32, (1, 3): 0, (1, 3, 6): 3, (1, 3, 8): 1, (1, 5): 1, (1, 5, 8): 0, (1, 6): 3, (1, 6, 3): 1, (1, 6, 5): 1, (1, 6, 8): 2, (1, 8): 1, (1, 8, 3): 1, (1, 8, 5): 0, (3,): 10, (3, 1): 0, (3, 5): 0, (3, 8, 1): 1, (5,): 4, (5, 1, 8): 0, (5, 3, 1): 0, (6,): 45, (6, 1): 8, (6, 1, 3): 0, (6, 1, 8): 0, (6, 3): 3, (6, 8): 0, (6, 8, 1): 3, (6, 8, 1, 3): 0, (8,): 45, (8, 1): 9, (8, 1, 3): 0, (8, 1, 5): 0, (8, 6): 0, (8, 6, 1): 3, (8, 6, 5): 0}","[9, 2, 7, 10]","{(2,): 11, (2, 7): 2, (7,): 23, (7, 2): 2}"
aberdeenshire_2017_ward3.csv,,,,,,,,,,,,,,,,,,,"[5, 8, 4, 2]","{(2,): 35, (2, 4): 2, (4,): 346, (4, 2): 3}",,,,,,,"[5, 8, 4, 2]","{(2,): 35, (2, 4): 2, (4,): 346, (4, 2): 3}",,,"[4, 2, 5, 8]","{(4,): 230}"
aberdeenshire_2022_ward4.csv,"[8, 9, 5, 7]","{(10, 4, 2): 0, (2, 10, 1): 0, (4, 6, 1): 0, (4, 6): 1, (4, 10, 6): 0, (1,): 4, (4, 2, 6): 0, (2, 4): 1, (2, 6): 0, (2,): 7, (10, 6): 1, (10,): 27, (1, 2): 0, (4, 2): 0, (2, 4, 6): 0, (1, 4): 0, (6, 10, 4): 0, (4,): 16, (2, 10): 2, (6, 10): 0, (10, 4): 2, (1, 6, 10): 1, (1, 4, 10): 0, (4, 1): 1, (6, 2, 10): 0, (10, 6, 2): 0, (4, 10, 2): 0, (4, 10): 4, (10, 2): 0, (6, 4): 0, (6,): 2, (4, 1, 10): 0, (6, 2, 1): 0, (1, 10, 2): 0, (4, 2, 1): 0, (6, 1, 10): 0, (10, 1, 4): 0, (6, 2): 0, (1, 4, 2): 0, (10, 1): 1, (2, 1): 0, (10, 4, 1): 0}",,,"[8, 9, 5, 3]","{(10, 4, 2): 1, (2, 10, 1): 0, (4, 6, 1): 0, (4, 6): 2, (4, 10, 6): 0, (1,): 6, (4, 2, 6): 0, (2, 4): 1, (2, 6): 1, (2,): 9, (10, 6): 2, (10,): 34, (1, 2): 1, (4, 2): 0, (2, 4, 6): 0, (1, 4): 1, (6, 10, 4): 0, (4,): 21, (2, 10): 3, (6, 10): 1, (10, 4): 3, (1, 6, 10): 1, (1, 4, 10): 0, (4, 1): 2, (6, 2, 10): 1, (10, 6, 2): 0, (4, 10, 2): 0, (4, 10): 5, (10, 2): 0, (6, 4): 0, (6,): 3, (4, 1, 10): 0, (6, 2, 1): 0, (1, 10, 2): 0, (4, 2, 1): 0, (6, 1, 10): 0, (10, 1, 4): 0, (6, 2): 1, (1, 4, 2): 0, (10, 1): 2, (2, 1): 0, (10, 4, 1): 0}","[8, 9, 5, 3]","{(8,): 53}",,,"[5, 8, 9, 3]","{(8,): 53, (9,): 69, (8, 9): 8, (9, 8): 10}",,,,,,,,,,,,,,,,,,,"[8, 5, 9, 7]","{(5,): 28, (5, 9): 4, (9,): 46, (9, 5): 4}"
aberdeen_2017_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen_2022_ward6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angus_2022_ward6.csv,,,"[6, 2, 10, 9]","{(8,): 30, (2,): 50, (2, 8): 425, (8, 2): 261}",,,,,,,"[2, 6, 8, 9]","{(2,): 16}",,,,,,,,,,,,,,,,,,,,
argyll_bute_2012_ward5.csv,"[9, 2, 4, 7]","{(1,): 1, (1, 10): 0, (1, 10, 8, 6): 0, (1, 8, 10): 0, (10,): 7, (10, 1): 0, (10, 1, 5, 8): 0, (10, 1, 6, 8): 0, (10, 1, 8): 0, (10, 5): 0, (10, 5, 1): 0, (10, 5, 8): 0, (10, 5, 8, 6, 1): 0, (10, 6): 0, (10, 6, 5): 0, (10, 8): 1, (10, 8, 5): 0, (5,): 1, (5, 10): 0, (5, 10, 1): 0, (5, 10, 8): 0, (5, 6): 0, (5, 6, 1): 0, (5, 6, 8, 10): 0, (5, 8): 0, (5, 8, 1): 0, (6,): 1, (6, 10): 0, (6, 10, 1): 0, (6, 8, 10): 0, (8,): 2, (8, 1): 0, (8, 1, 10): 0, (8, 10): 0, (8, 5): 0, (8, 5, 1): 0, (8, 6): 0}","[9, 2, 4, 7]","{(9,): 24}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
argyll_bute_2017_ward5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
