Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
fife_2022_ward2.csv,"[7, 1, 3]","[7, 1, 3]","[1, 3, 7]","[1, 3, 7]","[7, 1, 5]"
fife_2022_ward21.csv,"[1, 3, 7, 2]","[1, 3, 2, 7]","[1, 2, 3, 5]","[1, 2, 3, 5]","[1, 3, 2, 7]"
fife_2022_ward22.csv,"[4, 5, 7, 1]","[4, 5, 1, 7]","[1, 4, 5, 7]","[1, 4, 5, 7]","[4, 5, 7, 1]"
fife_2022_ward6.csv,"[1, 3, 8, 6]","[1, 3, 6, 8]","[1, 2, 3, 6]","[1, 2, 3, 6]","[1, 6, 3, 8]"
fife_2022_ward8.csv,"[2, 5, 3, 6]","[2, 5, 3, 6]","[2, 3, 4, 5]","[2, 3, 4, 5]","[2, 5, 3, 6]"
glasgow_2007_langside.csv,"[2, 4, 1]","[2, 4, 1]","[1, 2, 4]","[1, 2, 4]","[2, 4, 1]"
glasgow_2007_maryhill.csv,"[1, 8, 3, 5]","[1, 8, 3, 5]","[1, 3, 5, 8]","[1, 3, 5, 8]","[1, 8, 3, 5]"
glasgow_2012_ward15.csv,"[3, 6, 5, 7]","[3, 6, 5, 7]","[1, 3, 5, 6]","[1, 3, 5, 6]","[6, 3, 5, 7]"
glasgow_2012_ward6.csv,"[8, 3, 6]","[8, 3, 6]","[3, 6, 8]","[3, 6, 8]","[4, 8, 3]"
glasgow_2012_ward7.csv,"[1, 4, 5]","[1, 4, 6]","[1, 4, 5]","[1, 4, 5]","[4, 1, 5]"
glasgow_2017_ward11.csv,"[7, 3, 1]","[7, 1, 3]","[1, 3, 7]","[1, 3, 7]","[7, 1, 3]"
glasgow_2017_ward21.csv,"[2, 5, 7]","[2, 5, 7]","[2, 4, 5]","[2, 4, 5]","[2, 5, 3]"
glasgow_2017_ward6.csv,"[3, 4, 6, 5]","[3, 4, 6, 7]","[3, 4, 5, 6]","[3, 4, 5, 6]","[3, 4, 6, 7]"
glasgow_2022_ward13.csv,"[1, 2, 4, 6]","[1, 2, 4, 6]","[1, 2, 5, 7]","[1, 2, 5, 7]","[1, 2, 6, 7]"
glasgow_2022_ward15.csv,"[6, 7, 1]","[6, 1, 7]","[1, 6, 7]","[5, 6, 7]","[6, 1, 7]"
glasgow_2022_ward17.csv,"[1, 4, 2, 8]","[1, 4, 2, 8]","[1, 2, 4, 7]","[1, 2, 4, 7]","[4, 1, 2, 8]"
glasgow_2022_ward19.csv,"[2, 4, 6, 3]","[2, 4, 6, 8]","[2, 3, 4, 6]","[2, 3, 4, 6]","[2, 4, 6, 8]"
glasgow_2022_ward21.csv,"[1, 3, 2]","[1, 3, 2]","[1, 3, 8]","[1, 3, 8]","[1, 3, 2]"
highland_2012_ward12.csv,"[1, 2, 3]","[1, 2, 3]","[1, 2, 5]","[1, 2, 5]","[2, 1, 3]"
highland_2012_ward13.csv,"[3, 4, 1, 8]","[3, 4, 1, 8]","[1, 3, 4, 8]","[1, 3, 4, 8]","[3, 4, 1, 8]"
highland_2012_ward14.csv,"[4, 8, 1]","[4, 8, 1]","[1, 4, 8]","[1, 4, 8]","[4, 1, 8]"
highland_2012_ward19.csv,"[6, 3, 4, 5]","[6, 3, 4, 5]","[1, 3, 4, 6]","[1, 3, 4, 6]","[6, 3, 4, 5]"
highland_2012_ward20.csv,"[6, 4, 5, 8]","[6, 4, 5, 8]","[4, 5, 6, 7]","[4, 5, 6, 7]","[6, 4, 5, 8]"
highland_2012_ward22.csv,"[1, 4, 8, 7]","[1, 4, 8, 7]","[1, 4, 7, 8]","[1, 4, 7, 8]","[4, 1, 8, 2]"
highland_2012_ward4.csv,"[5, 2, 4, 6]","[5, 2, 4, 6]","[2, 4, 5, 6]","[2, 4, 5, 6]","[5, 2, 4, 6]"
highland_2012_ward7.csv,"[8, 7, 1, 5]","[8, 7, 1, 2]","[1, 3, 7, 8]","[1, 3, 7, 8]","[8, 7, 1, 5]"
highland_2012_ward8.csv,"[3, 4, 8]","[3, 4, 8]","[2, 3, 4]","[2, 3, 4]","[3, 4, 8]"
highland_2017_ward1.csv,"[4, 3, 2]","[2, 4, 3]","[2, 4, 8]","[2, 3, 8]","[4, 3, 1]"
highland_2017_ward14.csv,"[5, 7, 1]","[5, 1, 7]","[1, 5, 7]","[1, 5, 7]","[5, 7, 1]"
highland_2017_ward17.csv,"[2, 1, 7]","[2, 1, 7]","[1, 2, 7]","[1, 2, 7]","[2, 1, 7]"
highland_2017_ward19.csv,"[5, 7, 2, 8]","[5, 7, 2, 8]","[2, 5, 7, 8]","[2, 5, 7, 8]","[5, 7, 2, 8]"
highland_2017_ward20.csv,"[1, 6, 2, 5]","[1, 6, 2, 5]","[1, 2, 5, 6]","[1, 2, 5, 6]","[1, 6, 5, 8]"
highland_2017_ward5.csv,"[3, 2, 7, 8]","[3, 2, 7, 8]","[2, 3, 7, 8]","[2, 3, 7, 8]","[3, 8, 2, 5]"
highland_2022_badenoch.csv,"[6, 2, 7, 1]","[6, 2, 1, 7]","[1, 2, 6, 7]","[1, 2, 6, 7]","[6, 2, 7, 4]"
highland_2022_black_isle.csv,"[3, 1, 4]","[3, 1, 4]","[1, 3, 4]","[1, 3, 4]","[3, 4, 1]"
highland_2022_nairn.csv,"[2, 6, 3, 4]","[2, 6, 3, 4]","[2, 3, 4, 6]","[2, 3, 4, 6]","[6, 2, 3, 7]"
inverclyde_2017_ward7.csv,"[2, 8, 7]","[2, 8, 7]","[2, 7, 8]","[2, 7, 8]","[2, 8, 7]"
midlothian_2017_ward4.csv,"[8, 6, 4]","[8, 6, 4]","[4, 6, 8]","[4, 6, 8]","[8, 6, 4]"
midlothian_2022_ward6.csv,"[2, 6, 1]","[2, 6, 1]","[2, 6, 8]","[2, 6, 8]","[2, 6, 3]"
moray_2017_ward4.csv,"[5, 6, 1]","[5, 1, 6]","[5, 6, 8]","[5, 6, 8]","[5, 6, 8]"
north_ayrshire_2012_ward4.csv,"[2, 5, 6, 3]","[2, 5, 6, 3]","[2, 3, 5, 6]","[2, 3, 5, 6]","[5, 2, 6, 3]"
north_ayrshire_2012_ward7.csv,"[2, 1, 3]","[2, 1, 3]","[2, 3, 7]","[2, 3, 7]","[2, 1, 3]"
north_ayrshire_2017_ward4.csv,"[3, 8, 4]","[3, 8, 4]","[2, 3, 8]","[2, 3, 8]","[3, 8, 4]"
north_ayrshire_2017_ward6.csv,"[2, 1, 3]","[2, 1, 3]","[1, 2, 3]","[1, 2, 3]","[1, 2, 3]"
north_ayrshire_2022_saltcoats_and_stevenston.csv,"[3, 7, 5, 8, 2]","[3, 7, 5, 8, 2]","[2, 3, 4, 7, 8]","[2, 3, 4, 7, 8]","[3, 7, 5, 8, 4]"
north_lanarkshire_2012_ward11.csv,"[2, 3, 4, 1]","[2, 3, 4, 1]","[1, 2, 3, 8]","[1, 2, 3, 8]","[3, 2, 4, 1]"
north_lanarkshire_2012_ward2.csv,"[6, 2, 3, 1]","[6, 1, 3, 2]","[1, 2, 3, 6]","[1, 2, 3, 6]","[6, 1, 2, 3]"
north_lanarkshire_2012_ward3.csv,"[1, 2, 8, 3]","[1, 2, 8, 3]","[1, 2, 5, 8]","[1, 2, 5, 8]","[1, 2, 8, 4]"
north_lanarkshire_2017_ward11.csv,"[3, 4, 7, 5]","[3, 4, 7, 5]","[1, 2, 3, 4]","[1, 2, 3, 4]","[3, 4, 7, 5]"
north_lanarkshire_2017_ward12.csv,"[2, 8, 3, 6]","[2, 8, 3, 6]","[2, 3, 6, 8]","[2, 3, 6, 8]","[2, 8, 6, 3]"
north_lanarkshire_2017_ward4.csv,"[1, 5, 2, 4]","[1, 5, 4, 2]","[1, 2, 5, 8]","[1, 2, 5, 8]","[5, 1, 3, 4]"
north_lanarkshire_2017_ward7.csv,"[3, 5, 7, 8]","[3, 5, 7, 8]","[1, 3, 4, 5]","[1, 3, 4, 5]","[3, 5, 7, 8]"
north_lanarkshire_2017_ward8.csv,"[2, 1, 6, 3]","[2, 1, 3, 6]","[1, 2, 3, 6]","[1, 2, 3, 6]","[2, 6, 1, 8]"
north_lanarkshire_2017_ward9.csv,"[3, 5, 6, 2]","[3, 5, 6, 2]","[2, 3, 6, 7]","[2, 3, 6, 7]","[3, 6, 4, 5]"
north_lanarkshire_2022_ward19.csv,"[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 2, 6, 7]","[1, 2, 6, 7]","[2, 1, 4, 5]"
north_lanarkshire_2022_ward2.csv,"[4, 6, 1, 3]","[4, 6, 1, 5]","[1, 3, 4, 6]","[1, 3, 4, 6]","[6, 4, 1, 5]"
north_lanarkshire_2022_ward4.csv,"[1, 4, 6, 7]","[1, 4, 6, 7]","[1, 4, 5, 6]","[1, 4, 5, 6]","[1, 4, 6, 7]"
north_lanarkshire_2022_ward8.csv,"[1, 2, 3, 8]","[1, 2, 3, 8]","[1, 2, 3, 7]","[1, 2, 3, 7]","[2, 1, 3, 5]"
orkney_2012_ward1.csv,"[1, 3, 7, 8]","[1, 3, 7, 8]","[1, 3, 7, 8]","[1, 3, 7, 8]","[1, 3, 7, 8]"
orkney_2017_ward1.csv,"[4, 8, 7, 2]","[4, 8, 7, 2]","[2, 4, 7, 8]","[2, 4, 7, 8]","[4, 8, 7, 2]"
orkney_2017_ward6.csv,"[5, 8, 1]","[5, 8, 1]","[1, 5, 8]","[1, 5, 8]","[5, 8, 1]"
orkney_2022_ward2.csv,"[5, 2, 7, 4]","[5, 2, 7, 4]","[2, 4, 5, 7]","[2, 4, 5, 7]","[5, 7, 2, 3]"
perth_kinross_2012_ward10.csv,"[6, 8, 1, 5]","[6, 8, 1, 2]","[1, 5, 6, 8]","[1, 5, 6, 8]","[8, 6, 1, 5]"
perth_kinross_2012_ward12.csv,"[1, 2, 4, 7]","[1, 2, 4, 3]","[1, 2, 4, 7]","[1, 2, 4, 7]","[2, 1, 4, 7]"
perth_kinross_2017_ward10.csv,"[4, 8, 1, 5]","[4, 8, 1, 5]","[1, 4, 6, 8]","[1, 4, 6, 8]","[8, 4, 1, 6]"
perth_kinross_2017_ward11.csv,"[2, 3, 8]","[2, 3, 8]","[2, 3, 6]","[2, 3, 6]","[3, 2, 8]"
perth_kinross_2017_ward12.csv,"[1, 2, 3, 6]","[1, 2, 3, 6]","[1, 2, 3, 4]","[1, 2, 3, 4]","[1, 3, 2, 6]"
perth_kinross_2017_ward6.csv,"[6, 1, 3]","[6, 1, 3]","[1, 3, 6]","[1, 3, 6]","[6, 1, 3]"
perth_kinross_2017_ward7.csv,"[5, 7, 4]","[5, 7, 4]","[3, 4, 5]","[3, 4, 5]","[5, 7, 4]"
perth_kinross_2017_ward8.csv,"[5, 6, 8, 1]","[5, 8, 6, 1]","[1, 5, 6, 8]","[2, 5, 6, 8]","[5, 6, 2, 1]"
perth_kinross_2022_ward1.csv,"[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 4, 3]"
perth_kinross_2022_ward4.csv,"[1, 3, 8]","[1, 3, 8]","[1, 3, 7]","[1, 3, 7]","[8, 1, 3]"
perth_kinross_2022_ward8.csv,"[6, 8, 4, 2]","[6, 8, 2, 4]","[2, 4, 6, 8]","[2, 4, 6, 8]","[8, 6, 4, 2]"
renfrewshire_2012_ward4.csv,"[3, 5, 8, 6]","[3, 5, 8, 6]","[1, 3, 5, 8]","[1, 3, 5, 8]","[3, 5, 8, 6]"
renfrewshire_2012_ward5.csv,"[1, 5, 3, 4]","[1, 5, 3, 4]","[1, 2, 4, 5]","[1, 2, 4, 5]","[1, 5, 3, 4]"
renfrewshire_2012_ward7.csv,"[1, 7, 2, 4]","[1, 7, 2, 4]","[1, 4, 6, 7]","[1, 4, 6, 7]","[7, 1, 4, 2]"
renfrewshire_2012_ward8.csv,"[2, 4, 3]","[2, 4, 3]","[1, 2, 3]","[1, 2, 3]","[2, 3, 4]"
renfrewshire_2017_ward1.csv,"[1, 6, 8, 2]","[1, 6, 8, 2]","[1, 2, 6, 8]","[1, 2, 6, 8]","[6, 1, 8, 2]"
renfrewshire_2022_ward9.csv,"[1, 7, 2, 3]","[1, 7, 2, 3]","[1, 2, 6, 7]","[1, 2, 6, 7]","[1, 7, 2, 3]"
sc_borders_2012_ward8.csv,"[5, 8, 4]","[5, 8, 4]","[5, 7, 8]","[5, 7, 8]","[8, 5, 3]"
sc_borders_2017_ward1.csv,"[1, 8, 3]","[1, 3, 8]","[1, 3, 8]","[1, 3, 8]","[1, 8, 3]"
sc_borders_2017_ward3.csv,"[2, 4, 1, 6]","[2, 4, 1, 6]","[1, 2, 4, 6]","[1, 2, 4, 6]","[4, 2, 1, 6]"
sc_borders_2017_ward8.csv,"[4, 8, 6]","[4, 8, 6]","[2, 6, 8]","[2, 6, 8]","[8, 4, 6]"
sc_borders_2022_ward7.csv,"[3, 6, 1]","[3, 6, 1]","[1, 3, 6]","[1, 3, 6]","[3, 6, 5]"
shetland_2022_ward3.csv,"[1, 4]","[1, 4]","[1, 7]","[1, 7]","[1, 7]"
south_ayrshire_2022_ward1.csv,"[5, 8, 7, 1]","[5, 8, 7, 1]","[1, 5, 7, 8]","[1, 5, 7, 8]","[5, 7, 8, 1]"
south_ayrshire_2022_ward2.csv,"[2, 3, 4, 6]","[2, 3, 4, 6]","[2, 3, 4, 6]","[2, 3, 4, 6]","[2, 3, 4, 6]"
south_ayrshire_2022_ward3.csv,"[1, 2, 4, 3]","[1, 2, 4, 3]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 2, 4, 3]"
south_lanarkshire_2012_ward6.csv,"[1, 2, 3]","[1, 2, 3]","[1, 2, 6]","[1, 2, 6]","[1, 2, 3]"
south_lanarkshire_2012_ward8.csv,"[4, 5, 7, 8]","[4, 5, 7, 8]","[4, 5, 6, 7]","[4, 5, 6, 7]","[4, 5, 7, 8]"
south_lanarkshire_2017_ward1.csv,"[1, 4, 7, 2]","[1, 4, 7, 2]","[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 7, 4, 2]"
south_lanarkshire_2017_ward10.csv,"[4, 7, 8]","[4, 7, 8]","[4, 5, 7]","[4, 5, 7]","[4, 7, 5]"
south_lanarkshire_2017_ward13.csv,"[8, 4, 1]","[8, 4, 1]","[1, 4, 8]","[1, 4, 8]","[6, 8, 7]"
south_lanarkshire_2017_ward14.csv,"[1, 6, 4]","[1, 6, 4]","[1, 3, 6]","[1, 3, 6]","[1, 6, 4]"
south_lanarkshire_2017_ward15.csv,"[1, 6, 8]","[1, 6, 8]","[1, 2, 6]","[1, 2, 6]","[6, 1, 8]"
south_lanarkshire_2017_ward17.csv,"[3, 6, 7]","[3, 6, 7]","[3, 6, 7]","[3, 6, 7]","[6, 3, 7]"
south_lanarkshire_2017_ward3.csv,"[1, 6, 5]","[1, 6, 5]","[1, 4, 6]","[1, 4, 6]","[1, 6, 5]"
south_lanarkshire_2017_ward5.csv,"[1, 2, 3]","[1, 2, 3]","[1, 2, 3]","[1, 2, 3]","[1, 3, 2]"
south_lanarkshire_2017_ward6.csv,"[1, 4, 3]","[1, 4, 3]","[1, 3, 5]","[1, 3, 5]","[1, 3, 4]"
south_lanarkshire_2017_ward8.csv,"[2, 3, 8]","[2, 3, 8]","[1, 2, 3]","[1, 2, 3]","[3, 2, 8]"
south_lanarkshire_2022_ward14.csv,"[2, 4, 8]","[2, 4, 8]","[2, 4, 7]","[2, 4, 7]","[2, 4, 3]"
south_lanarkshire_2022_ward3.csv,"[1, 5, 2]","[1, 5, 2]","[1, 2, 5]","[1, 2, 5]","[5, 1, 2]"
south_lanarkshire_2022_ward4.csv,"[3, 1, 4]","[3, 1, 4]","[1, 3, 4]","[1, 3, 4]","[3, 1, 2]"
south_lanarkshire_2022_ward9.csv,"[4, 5, 7]","[4, 5, 7]","[1, 4, 6]","[1, 4, 6]","[4, 6, 7]"
stirling_2012_ward2.csv,"[1, 7, 5]","[1, 5, 7]","[1, 7, 8]","[1, 7, 8]","[7, 1, 8]"
stirling_2012_ward4.csv,"[7, 3, 1]","[7, 1, 3]","[3, 4, 7]","[3, 4, 7]","[7, 3, 4]"
stirling_2017_ward4.csv,"[4, 5, 2, 8]","[4, 5, 8, 2]","[1, 2, 4, 5]","[1, 2, 4, 5]","[5, 4, 2, 8]"
stirling_2022_ward1.csv,"[1, 5, 8]","[1, 5, 8]","[1, 3, 5]","[1, 3, 5]","[1, 5, 8]"
stirling_2022_ward2.csv,"[2, 5, 7]","[2, 7, 5]","[2, 5, 7]","[2, 5, 7]","[2, 5, 7]"
stirling_2022_ward6.csv,"[5, 1, 3]","[5, 1, 3]","[1, 3, 5]","[1, 3, 5]","[5, 3, 1]"
stirling_2022_ward7.csv,"[4, 2, 1]","[4, 2, 1]","[2, 4, 6]","[2, 4, 6]","[4, 2, 1]"
west_dunbartonshire_2012_ward6.csv,"[1, 2, 8, 7]","[1, 2, 8, 7]","[1, 2, 7, 8]","[1, 2, 7, 8]","[1, 2, 8, 7]"
west_dunbartonshire_2017_ward2.csv,"[1, 2, 6, 4]","[1, 2, 4, 6]","[1, 2, 6, 7]","[1, 2, 6, 7]","[2, 1, 6, 5]"
west_dunbartonshire_2022_ward2.csv,"[3, 7, 2, 6]","[3, 2, 7, 6]","[2, 3, 6, 7]","[2, 3, 6, 7]","[3, 7, 6, 5]"
west_lothian_2012_ward3.csv,"[2, 5, 6, 7]","[2, 5, 6, 7]","[1, 2, 5, 6]","[1, 2, 5, 6]","[2, 5, 6, 7]"
west_lothian_2012_ward7.csv,"[2, 7, 8, 3]","[2, 7, 8, 3]","[1, 2, 7, 8]","[1, 2, 7, 8]","[7, 2, 8, 3]"
west_lothian_2017_ward3.csv,"[1, 5, 3, 7]","[1, 5, 3, 7]","[1, 3, 5, 7]","[1, 3, 5, 7]","[1, 3, 5, 7]"
west_lothian_2017_ward4.csv,"[1, 4, 3, 7]","[1, 4, 3, 7]","[1, 3, 4, 7]","[1, 3, 4, 7]","[1, 4, 3, 7]"
west_lothian_2017_ward5.csv,"[1, 5, 8, 4]","[1, 5, 8, 4]","[1, 4, 5, 8]","[1, 4, 5, 8]","[5, 8, 1, 4]"
west_lothian_2022_ward3.csv,"[3, 6, 5, 1]","[3, 6, 5, 1]","[1, 3, 5, 6]","[1, 3, 5, 6]","[3, 5, 6, 1]"
west_lothian_2022_ward6.csv,"[2, 7, 5]","[2, 5, 7]","[2, 3, 7]","[2, 3, 7]","[2, 5, 7]"
west_lothian_2022_ward8.csv,"[1, 2, 8, 7]","[1, 2, 8, 7]","[1, 2, 5, 8]","[1, 2, 5, 8]","[2, 1, 8, 7]"
aberdeenshire_2012_ward5.csv,"[1, 7, 2, 6]","[1, 2, 7, 6]","[1, 2, 5, 6]","[1, 2, 5, 6]","[1, 2, 4, 6]"
aberdeenshire_2022_ward17.csv,"[1, 3, 8, 9]","[1, 9, 3, 8]","[1, 3, 6, 8]","[1, 3, 6, 8]","[1, 3, 8, 9]"
aberdeen_2012_ward1.csv,"[1, 5, 8, 3]","[1, 5, 3, 8]","[1, 5, 6, 9]","[1, 5, 6, 9]","[1, 5, 4, 3]"
aberdeen_2012_ward2.csv,"[2, 6, 9, 7]","[2, 6, 9, 7]","[2, 6, 8, 9]","[2, 5, 6, 9]","[6, 2, 9, 7]"
aberdeen_2012_ward3.csv,"[2, 4, 5]","[2, 4, 5]","[2, 4, 5]","[2, 4, 5]","[2, 5, 4]"
aberdeen_2012_ward6.csv,"[3, 7, 6]","[3, 7, 6]","[2, 3, 7]","[3, 4, 7]","[3, 7, 6]"
aberdeen_2017_ward2.csv,"[1, 3, 6, 8]","[1, 3, 6, 8]","[1, 3, 6, 9]","[1, 3, 6, 9]","[3, 1, 6, 2]"
aberdeen_2017_ward6.csv,"[4, 6, 8]","[4, 6, 8]","[3, 4, 6]","[3, 4, 6]","[4, 6, 8]"
aberdeen_2017_ward8.csv,"[1, 3, 5, 2]","[1, 3, 5, 2]","[1, 2, 3, 5]","[1, 2, 3, 5]","[1, 5, 3, 2]"
aberdeen_2022_ward4.csv,"[2, 4, 9]","[2, 4, 9]","[1, 2, 4]","[1, 2, 4]","[2, 4, 9]"
angus_2022_ward8.csv,"[3, 5, 4, 9]","[3, 5, 4, 9]","[3, 5, 7, 9]","[3, 5, 7, 9]","[5, 3, 9, 4]"
argyll_bute_2012_ward4.csv,"[2, 9, 6, 3]","[2, 9, 3, 6]","[2, 6, 7, 9]","[2, 6, 7, 9]","[2, 9, 6, 3]"
argyll_bute_2012_ward6.csv,"[1, 6, 5]","[6, 1, 5]","[1, 4, 6]","[1, 4, 6]","[1, 6, 5]"
argyll_bute_2022_ward3.csv,"[3, 8, 6]","[3, 8, 7]","[3, 6, 8]","[3, 6, 8]","[8, 3, 7]"
argyll_bute_2022_ward8.csv,"[2, 4, 9]","[2, 4, 7]","[2, 4, 9]","[2, 4, 9]","[2, 4, 7]"
dumgal_2012_ward13.csv,"[3, 7, 6, 1]","[3, 6, 7, 1]","[3, 6, 7, 8]","[3, 6, 7, 8]","[3, 6, 7, 1]"
dumgal_2017_ward2.csv,"[4, 5, 7, 3]","[4, 5, 7, 3]","[3, 4, 5, 9]","[2, 3, 4, 5]","[4, 5, 3, 7]"
dumgal_2017_ward3.csv,"[2, 4, 1]","[2, 1, 4]","[1, 2, 8]","[1, 2, 8]","[2, 4, 1]"
dumgal_2017_ward8.csv,"[1, 3, 6, 5]","[1, 3, 6, 5]","[1, 2, 5, 6]","[1, 2, 5, 6]","[1, 6, 3, 5]"
dundee_2012_ward1.csv,"[1, 4, 2, 3]","[1, 4, 2, 3]","[1, 2, 4, 8]","[1, 2, 4, 8]","[1, 4, 2, 3]"
dundee_2012_ward2.csv,"[4, 5, 8, 7]","[4, 5, 8, 7]","[2, 4, 5, 8]","[2, 4, 5, 8]","[4, 5, 8, 7]"
dundee_2012_ward4.csv,"[1, 2, 3, 9]","[1, 2, 3, 9]","[1, 2, 4, 9]","[1, 2, 4, 9]","[2, 1, 3, 9]"
dundee_2017_ward3.csv,"[4, 2, 6, 3]","[4, 2, 6, 3]","[2, 3, 4, 6]","[2, 3, 4, 6]","[4, 2, 6, 8]"
dundee_2017_ward7.csv,"[1, 9, 8]","[1, 9, 8]","[1, 4, 8]","[1, 4, 8]","[1, 9, 8]"
dundee_2017_ward8.csv,"[7, 2, 3, 8]","[7, 2, 3, 8]","[2, 3, 5, 7]","[2, 3, 5, 7]","[7, 2, 3, 8]"
dundee_2022_ward1.csv,"[1, 7, 5, 3]","[1, 7, 3, 5]","[1, 3, 7, 8]","[1, 3, 7, 8]","[1, 7, 3, 5]"
dundee_2022_ward2.csv,"[4, 7, 8, 6]","[4, 7, 8, 6]","[3, 4, 7, 9]","[3, 4, 7, 9]","[7, 4, 8, 6]"
dundee_2022_ward3.csv,"[8, 4, 3, 2]","[8, 3, 4, 2]","[2, 4, 8, 9]","[2, 4, 8, 9]","[8, 4, 3, 2]"
dundee_2022_ward4.csv,"[3, 5, 7, 9]","[3, 5, 7, 9]","[2, 3, 7, 9]","[2, 3, 6, 7]","[3, 7, 5, 9]"
dundee_2022_ward8.csv,"[2, 3, 6, 8]","[2, 3, 6, 8]","[2, 3, 6, 8]","[2, 3, 6, 8]","[3, 2, 6, 8]"
east_ayrshire_2017_ward9.csv,"[2, 1, 4]","[1, 2, 4]","[1, 2, 5]","[1, 2, 5]","[2, 1, 4]"
east_lothian_2017_ward1.csv,"[2, 5, 3, 9]","[2, 5, 3, 9]","[1, 2, 3, 5]","[1, 2, 3, 5]","[2, 3, 5, 9]"
east_lothian_2022_ward1.csv,"[4, 8, 5, 1]","[4, 5, 9, 1]","[4, 5, 7, 8]","[4, 5, 7, 8]","[4, 5, 8, 1]"
east_lothian_2022_ward3.csv,"[1, 5, 6, 7]","[1, 5, 6, 7]","[1, 4, 5, 6]","[1, 4, 5, 6]","[1, 6, 5, 7]"
east_lothian_2022_ward5.csv,"[1, 6, 7, 9]","[1, 6, 7, 9]","[1, 6, 7, 9]","[1, 6, 7, 9]","[6, 1, 9, 7]"
east_renfrewshire_2012_ward1.csv,"[2, 1, 3, 5]","[2, 1, 3, 5]","[1, 2, 3, 5]","[1, 2, 3, 5]","[2, 3, 1, 5]"
east_renfrewshire_2017_ward2.csv,"[2, 3, 7]","[2, 3, 7]","[2, 3, 7]","[2, 3, 7]","[3, 2, 7]"
east_renfrewshire_2017_ward3.csv,"[6, 9, 4]","[6, 9, 4]","[4, 6, 9]","[4, 6, 9]","[9, 6, 4]"
east_renfrewshire_2022_ward5.csv,"[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]","[2, 3, 4, 1]"
edinburgh_2012_ward4.csv,"[2, 5, 1, 8]","[2, 5, 1, 8]","[1, 2, 5, 6]","[1, 2, 5, 6]","[2, 5, 1, 8]"
edinburgh_2017_ward7.csv,"[2, 3, 9, 1]","[3, 2, 1, 9]","[2, 3, 5, 9]","[2, 3, 5, 9]","[2, 7, 1, 3]"
edinburgh_2022_ward1.csv,"[6, 7, 8, 9]","[6, 7, 8, 9]","[5, 6, 7, 8]","[5, 6, 7, 8]","[6, 7, 8, 9]"
edinburgh_2022_ward17.csv,"[1, 4, 5, 2]","[1, 4, 5, 8]","[1, 2, 4, 5]","[1, 2, 4, 5]","[1, 4, 5, 2]"
edinburgh_2022_ward2.csv,"[1, 4, 7, 6]","[1, 4, 7, 6]","[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 4, 7, 5]"
eilean_siar_2017_ward3.csv,"[1, 2, 7]","[1, 2, 7]","[1, 2, 7]","[1, 2, 7]","[1, 2, 7]"
falkirk_2022_ward9.csv,"[7, 5, 1]","[7, 5, 1]","[1, 5, 7]","[1, 5, 7]","[7, 5, 1]"
fife_2012_ward10.csv,"[2, 3, 5]","[2, 3, 5]","[2, 3, 5]","[2, 3, 5]","[2, 3, 5]"
fife_2012_ward19.csv,"[4, 5, 3, 8]","[4, 5, 3, 8]","[3, 4, 5, 8]","[3, 4, 5, 8]","[4, 5, 3, 7]"
fife_2012_ward23.csv,"[1, 6, 9, 4]","[1, 6, 9, 4]","[1, 4, 6, 9]","[1, 4, 6, 9]","[1, 6, 4, 9]"
fife_2017_ward11.csv,"[4, 1, 3]","[4, 1, 3]","[3, 4, 8]","[3, 4, 8]","[3, 4, 1]"
fife_2017_ward12.csv,"[1, 3, 9]","[1, 3, 5]","[1, 3, 9]","[1, 3, 9]","[3, 1, 6]"
fife_2017_ward14.csv,"[3, 4, 1, 8]","[3, 4, 1, 8]","[1, 3, 4, 8]","[1, 3, 4, 8]","[3, 4, 8, 1]"
fife_2017_ward3.csv,"[1, 3, 8, 2]","[1, 3, 8, 2]","[1, 3, 5, 8]","[1, 3, 5, 8]","[1, 3, 8, 7]"
fife_2017_ward5.csv,"[5, 7, 8]","[5, 7, 8]","[5, 7, 8]","[5, 7, 8]","[7, 5, 8]"
fife_2022_ward20.csv,"[5, 7, 3]","[5, 7, 3]","[5, 7, 8]","[5, 7, 8]","[7, 5, 3]"
fife_2022_ward3.csv,"[1, 3, 6, 5]","[1, 3, 5, 6]","[1, 3, 6, 7]","[1, 3, 6, 7]","[1, 3, 6, 5]"
fife_2022_ward5.csv,"[9, 1, 2]","[9, 1, 2]","[1, 8, 9]","[1, 8, 9]","[9, 1, 3]"
fife_2022_ward7.csv,"[1, 3, 9, 7]","[1, 3, 9, 5]","[1, 3, 5, 9]","[1, 3, 5, 9]","[3, 1, 9, 5]"
fife_2022_ward9.csv,"[1, 7, 5]","[1, 7, 5]","[1, 5, 7]","[1, 5, 7]","[1, 7, 5]"
